driverId,week,hours-logged,miles-logged
950,48,52,0
1008,43,77,3700
1000,11,53,3600
183,33,67,1800
755,26,64,2100
91,9,56,2000
181,46,62,1100
794,18,67,300
688,28,57,1700
779,23,78,1800
587,25,59,200
821,41,50,1800
451,50,79,2900
253,22,69,2000
95,3,60,3400
309,51,53,3800
688,21,56,2500
188,8,77,2700
71,23,73,1100
440,10,51,2700
742,43,51,3800
634,23,76,1300
87,4,62,3600
356,2,54,3700
623,7,75,2500
408,19,59,1800
939,13,58,1900
103,5,68,2800
94,46,80,2000
991,34,57,100
136,27,55,1400
394,45,58,100
311,28,67,2900
628,8,65,400
812,46,73,1200
991,13,67,700
874,42,68,0
41,27,64,2500
281,40,67,3500
280,18,54,2700
299,2,67,1400
305,37,72,2500
733,52,72,2600
966,24,79,2500
32,15,78,2800
32,33,60,3900
310,44,64,2300
523,15,65,1600
434,37,56,0
776,16,51,300
193,35,78,700
95,22,75,3300
334,1,52,500
60,48,63,2500
853,27,66,3000
729,14,52,1800
563,38,67,1700
435,50,58,3300
333,14,52,4000
479,27,55,1100
796,51,57,2300
541,40,72,800
336,15,65,100
213,15,78,300
1007,13,74,0
522,16,62,600
330,20,64,3400
836,14,52,600
762,36,53,3500
775,4,67,3500
803,28,72,100
732,47,63,1600
850,42,75,3500
235,39,63,2100
69,44,62,0
979,3,60,2500
945,4,71,2600
115,43,55,2100
1000,18,78,2500
361,39,73,2100
592,52,71,200
989,9,75,2500
635,36,76,1800
320,6,68,300
681,51,56,1000
128,48,53,3900
597,7,58,700
645,31,72,2400
229,3,79,600
52,19,67,500
437,37,53,1600
731,48,59,1600
920,26,63,3800
1005,2,54,300
554,47,66,2100
42,30,54,2700
445,33,57,1200
485,52,67,400
868,12,53,1300
310,24,74,100
977,4,65,500
665,25,54,2400
423,47,52,400
829,22,63,3200
613,47,79,1600
876,46,72,3600
29,10,55,500
14,12,75,4000
975,48,65,2200
841,7,73,1900
778,37,76,2600
635,43,75,100
743,16,69,1600
261,16,69,3700
944,10,70,900
597,38,63,2600
876,14,71,700
426,27,75,300
184,27,68,3500
194,18,64,2600
129,35,68,3700
753,36,51,2200
752,6,63,800
227,29,66,1700
146,24,71,100
293,25,80,1300
636,33,57,1300
48,29,63,2800
939,43,64,2900
52,15,54,700
773,10,62,900
612,8,65,2600
876,34,55,1400
423,3,71,300
408,32,57,3000
86,6,72,2600
163,33,74,1700
290,44,59,600
459,47,75,2600
734,14,78,1100
289,49,62,1900
495,34,57,3800
585,40,56,1200
108,26,64,300
928,46,69,1400
542,2,64,2400
861,13,78,1000
660,6,63,1700
431,51,57,1800
832,34,72,600
976,4,54,2900
98,44,72,3900
676,34,62,3500
135,34,59,200
865,31,71,600
667,49,65,1500
385,43,77,3800
264,27,79,1100
642,34,77,3400
529,48,55,1400
895,16,63,3200
723,35,69,2900
838,12,62,0
470,46,75,900
266,40,50,1600
371,33,63,1700
815,10,77,1500
350,28,58,1400
726,23,55,1300
487,33,59,1800
982,13,62,3200
820,14,75,1900
453,18,52,3600
242,27,79,3700
630,26,53,300
147,52,78,2700
864,23,70,600
627,23,69,3300
